n,Dynamic Programming Memoization,,,,,,,Dynamic Programming Tabulation,,,,,,,Greedy Highest Value,,,,,,,,Greedy Smallest Weight,,,,,,,,Greedy Greatest Worth Ratio,,,,,,,
,Value 1,Time 1,Value 2,Time 2,Value 3,Time 3,Avg Time,Value 1,Time 1,Value 2,Time 2,Value 3,Time 3,Avg Time,Value 1,Time 1,Value 2,Time 2,Value 3,Time 3,Avg Time,Avg % Error,Value 1,Time 1,Value 2,Time 2,Value 3,Time 3,Average Time,Avg % Error,Value 1,Time 1,Value 2,Time 2,Value 3,Time 3,Average Time,Avg % Error
25100,4488,184012,4476,162628,4478,166962,171200,4488,41660,4476,40484,4478,41336,41160,1002,308,1002,385,1503,303,332,73.91%,3014,481,2937,674,3196,467,540,31.95%,4327,162,4198,167,4165,170,166,5.60%
25200,4488,160514,4476,158280,4478,163303,160699,4488,41563,4476,42073,4478,40953,41529,1002,409,1002,311,1503,315,345,73.91%,3014,670,2937,456,3196,468,531,31.95%,4327,159,4198,164,4165,167,163,5.60%
25300,4488,167444,4476,161111,4478,165074,164543,4488,41879,4476,41357,4478,43015,42083,1002,332,1002,316,1503,325,324,73.91%,3014,458,2937,461,3196,466,461,31.95%,4327,161,4198,161,4165,161,161,5.60%
25400,4488,163272,4476,172788,4478,163067,166375,4488,40751,4476,42279,4478,40391,41140,1002,318,1002,314,1503,314,315,73.91%,3014,460,2937,462,3196,497,473,31.95%,4327,161,4198,165,4165,165,163,5.60%
25500,4488,171394,4476,164946,4478,170891,169077,4488,42123,4476,41183,4478,42135,41813,1002,314,1002,313,1503,309,312,73.91%,3014,459,2937,479,3196,481,473,31.95%,4327,167,4198,161,4165,165,164,5.60%
25600,4488,167827,4481,170058,4478,166144,168009,4488,41517,4481,41503,4478,42230,41750,1002,338,1002,325,1503,320,327,73.92%,3014,497,2937,463,3196,469,476,31.98%,4327,170,4198,163,4165,168,167,5.63%
25700,4490,167051,4481,166865,4478,171025,168313,4490,41997,4481,41746,4478,43106,42283,1002,328,1002,322,1503,323,324,73.92%,3014,478,2937,472,3196,521,490,31.99%,4327,182,4198,164,4165,174,173,5.65%
25800,4490,170875,4481,177556,4478,174195,174208,4490,42871,4481,43644,4478,43506,43340,1002,328,1002,326,1503,308,320,73.92%,3014,472,2937,484,3196,486,480,31.99%,4327,169,4198,167,4165,167,167,5.65%
25900,4490,170724,4481,168482,4478,170595,169933,4490,44716,4481,42851,4478,43420,43662,1002,316,1002,324,1503,330,323,73.92%,3014,467,2937,474,3196,472,471,31.99%,4327,177,4198,172,4165,170,173,5.65%
26000,4490,168310,4481,169347,4478,171519,169725,4490,45553,4481,44255,4478,44169,44659,1002,314,1002,326,1503,321,320,73.92%,3014,464,2937,496,3196,476,478,31.99%,4327,176,4198,170,4165,165,170,5.65%
26100,4490,173758,4481,169062,4478,171464,171428,4490,44808,4481,42973,4478,45005,44262,1002,316,1002,322,1503,339,325,73.92%,3014,474,2937,468,3196,463,468,31.99%,4327,166,4198,164,4165,164,164,5.65%
26200,4490,178786,4481,167965,4478,171373,172708,4490,44296,4481,43895,4478,43159,43783,1002,345,1002,326,1503,330,333,73.92%,3014,524,2937,471,3196,506,500,31.99%,4327,177,4198,179,4165,179,178,5.65%
26300,4490,173606,4481,166745,4478,173534,171295,4490,42901,4481,42060,4478,43855,42938,1002,328,1002,339,1503,334,333,73.92%,3014,471,2937,490,3196,485,482,31.99%,4327,167,4198,171,4165,177,171,5.65%
26400,4490,174732,4481,172299,4478,174658,173896,4490,43528,4481,43924,4478,43815,43755,1002,332,1002,321,1503,326,326,73.92%,3014,529,2937,474,3196,493,498,31.99%,4327,185,4198,169,4165,172,175,5.65%
26500,4490,172028,4481,174456,4478,177690,174724,4490,44067,4481,42946,4478,43785,43599,1002,330,1002,320,1503,352,334,73.92%,3014,495,2937,490,3196,491,492,31.99%,4327,173,4198,169,4165,185,175,5.65%
26600,4490,176936,4481,171892,4478,174503,174443,4490,42426,4481,44913,4478,46979,44772,1002,320,1002,338,1503,413,357,73.92%,3014,509,2937,591,3196,541,547,31.99%,4327,170,4198,170,4165,175,171,5.65%
26700,4490,177970,4481,172113,4478,173623,174568,4490,44864,4481,43769,4478,43829,44154,1002,329,1002,323,1503,332,328,73.92%,3014,501,2937,472,3196,492,488,31.99%,4327,173,4198,179,4165,173,175,5.65%
26800,4490,174996,4481,173308,4478,176270,174858,4490,43903,4481,45118,4478,43872,44297,1002,354,1002,355,1503,339,349,73.92%,3014,510,2937,479,3196,515,501,31.99%,4327,169,4198,175,4165,168,170,5.65%
26900,4490,179209,4481,172094,4478,180893,177398,4490,45685,4481,44445,4478,47404,45844,1002,351,1002,323,1503,359,344,73.92%,3014,491,2937,473,3196,526,496,31.99%,4327,170,4198,172,4165,187,176,5.65%
27000,4490,183965,4481,174655,4478,176692,178437,4490,45815,4481,45751,4478,45361,45642,1002,329,1002,325,1503,356,336,73.92%,3014,484,2937,476,3196,490,483,31.99%,4327,175,4198,172,4165,187,178,5.65%
27100,4490,178780,4481,176812,4478,179252,178281,4490,44798,4481,43683,4478,44790,44423,1002,332,1002,333,1503,518,394,73.92%,3014,512,2937,489,3196,496,499,31.99%,4327,175,4198,181,4165,175,177,5.65%
27200,4490,180303,4481,174908,4478,179631,178280,4490,46830,4481,46622,4478,44401,45951,1002,348,1002,332,1503,338,339,73.92%,3014,497,2937,480,3196,482,486,31.99%,4327,172,4198,187,4165,178,179,5.65%
27300,4490,177711,4481,181941,4478,181260,180304,4490,46023,4481,44892,4478,47058,45991,1002,356,1002,340,1503,471,389,73.92%,3014,504,2937,485,3196,479,489,31.99%,4327,181,4198,173,4165,172,175,5.65%
27400,4490,180540,4481,184121,4478,185225,183295,4490,45593,4481,47178,4478,45964,46245,1002,361,1002,350,1503,342,351,73.92%,3014,498,2937,504,3196,514,505,31.99%,4327,181,4198,177,4165,178,178,5.65%
27500,4490,181826,4481,180584,4478,201336,187915,4490,48639,4481,50849,4478,47617,49035,1002,329,1002,380,1503,324,344,73.92%,3014,558,2937,503,3196,480,513,31.99%,4327,408,4198,179,4165,176,254,5.65%
27600,4490,186870,4481,182758,4478,200149,189925,4490,46742,4481,69488,4478,46674,54301,1002,330,1002,411,1503,344,361,73.92%,3014,481,2937,482,3196,492,485,31.99%,4327,174,4198,192,4165,205,190,5.65%
27700,4490,190550,4481,180617,4478,181958,184375,4490,49104,4481,44829,4478,46690,46874,1002,349,1002,355,1503,354,352,73.92%,3014,505,2937,489,3196,496,496,31.99%,4327,186,4198,178,4165,177,180,5.65%
27800,4490,201153,4481,182513,4478,186346,190004,4490,46388,4481,46086,4478,45519,45997,1002,336,1002,339,1503,361,345,73.92%,3014,487,2937,503,3196,498,496,31.99%,4327,180,4198,192,4165,193,188,5.65%
27900,4490,183769,4481,178481,4478,187009,183086,4490,44924,4481,43940,4478,46810,45224,1002,331,1002,366,1503,352,349,73.92%,3014,488,2937,484,3196,501,491,31.99%,4327,183,4198,178,4165,177,179,5.65%
28000,4490,185687,4481,184114,4478,188386,186062,4490,45445,4481,45847,4478,47036,46109,1002,338,1002,333,1503,345,338,73.92%,3014,489,2937,492,3196,501,494,31.99%,4327,178,4198,177,4165,180,178,5.65%
28100,4490,187461,4481,182358,4478,184952,184923,4490,48441,4481,47186,4478,49241,48289,1002,390,1002,348,1503,357,365,73.92%,3014,502,2937,499,3196,515,505,31.99%,4327,233,4198,181,4165,243,219,5.65%
28200,4490,184817,4481,185088,4478,190778,186894,4490,45578,4481,46233,4478,46717,46176,1002,363,1002,374,1503,345,360,73.92%,3014,519,2937,507,3196,508,511,31.99%,4327,184,4198,178,4165,177,179,5.65%
28300,4490,192047,4481,184864,4478,185951,187620,4490,45763,4481,50310,4478,48141,48071,1002,374,1002,381,1503,341,365,73.92%,3014,503,2937,489,3196,489,493,31.99%,4327,183,4198,179,4165,187,183,5.65%
28400,4490,187662,4481,190926,4478,186768,188452,4490,45969,4481,47522,4478,46219,46570,1002,343,1002,350,1503,512,401,73.92%,3014,499,2937,499,3196,509,502,31.99%,4327,205,4198,183,4165,245,211,5.65%
28500,4490,188485,4481,182752,4478,187121,186119,4490,50082,4481,47371,4478,46762,48071,1002,372,1002,356,1503,370,366,73.92%,3014,505,2937,510,3196,543,519,31.99%,4327,181,4198,185,4165,196,187,5.65%
28600,4490,193162,4481,182346,4478,188676,188061,4490,46879,4481,46093,4478,47564,46845,1002,359,1002,344,1503,375,359,73.92%,3014,501,2937,508,3196,489,499,31.99%,4327,183,4198,185,4165,177,181,5.65%
28700,4490,192732,4481,188991,4478,194777,192166,4490,46459,4481,47005,4478,49006,47490,1002,346,1002,359,1503,351,352,73.92%,3014,498,2937,694,3196,557,583,31.99%,4327,182,4198,190,4165,186,186,5.65%
28800,4490,190868,4481,185600,4478,195452,190640,4490,50000,4481,47829,4478,47440,48423,1002,353,1002,353,1503,354,353,73.92%,3014,509,2937,510,3196,511,510,31.99%,4327,186,4198,181,4165,187,184,5.65%
28900,4490,192683,4481,187060,4478,191600,190447,4490,46374,4481,48421,4478,48036,47610,1002,347,1002,380,1503,354,360,73.92%,3014,500,2937,516,3196,506,507,31.99%,4327,452,4198,188,4165,197,279,5.65%
29000,4490,197170,4481,189657,4478,192733,193186,4490,47615,4481,48789,4478,48648,48350,1002,372,1002,367,1503,368,369,73.92%,3014,513,2937,526,3196,514,517,31.99%,4327,184,4198,183,4165,198,188,5.65%
29100,4490,191948,4481,198247,4478,192316,194170,4490,49596,4481,51345,4478,48903,49948,1002,360,1002,372,1503,512,414,73.92%,3014,504,2937,541,3196,511,518,31.99%,4327,184,4198,184,4165,183,183,5.65%
29200,4490,189207,4481,192572,4478,194138,191972,4490,49576,4481,48137,4478,49507,49073,1002,362,1002,361,1503,392,371,73.92%,3014,513,2937,502,3196,527,514,31.99%,4327,184,4198,185,4165,189,186,5.65%
29300,4490,191823,4481,187237,4478,195838,191632,4490,51921,4481,48872,4478,49268,50020,1002,358,1002,396,1503,390,381,73.92%,3014,512,2937,534,3196,638,561,31.99%,4327,186,4198,212,4165,185,194,5.65%
29400,4493,194038,4481,188908,4478,195624,192856,4493,49334,4481,51576,4478,50023,50311,1002,353,1002,349,1503,369,357,73.92%,3014,517,2937,509,3196,527,517,32.00%,4327,197,4198,198,4165,192,195,5.67%
29500,4493,196107,4490,188372,4478,201226,195235,4493,48104,4490,49939,4478,49061,49034,1002,385,1002,538,1503,373,432,73.94%,3014,519,2937,523,3196,522,521,32.04%,4327,186,4198,255,4165,193,211,5.73%
29600,4493,195578,4490,191085,4478,199591,195418,4493,49085,4490,47861,4478,47655,48200,1002,361,1002,365,1503,356,360,73.94%,3014,520,2937,510,3196,508,512,32.04%,4327,193,4198,191,4165,207,197,5.73%
29700,4493,195845,4490,189688,4478,194802,193445,4493,48353,4490,48167,4478,47919,48146,1002,358,1002,357,1503,369,361,73.94%,3014,515,2937,519,3196,535,523,32.04%,4327,194,4198,270,4165,195,219,5.73%
29800,4493,209369,4490,196869,4478,193870,200036,4493,56538,4490,47859,4478,49427,51274,1002,389,1002,357,1503,365,370,73.94%,3014,596,2937,520,3196,594,570,32.04%,4327,202,4198,192,4165,284,226,5.73%
29900,4493,199862,4490,216402,4478,202216,206160,4493,75437,4490,48601,4478,50236,58091,1002,385,1002,353,1503,363,367,73.94%,3014,516,2937,527,3196,522,521,32.04%,4327,189,4198,194,4165,195,192,5.73%
30000,4493,199560,4490,198583,4478,197746,198629,4493,49318,4490,47342,4478,48392,48350,1002,365,1002,392,1503,390,382,73.94%,3014,515,2937,535,3196,522,524,32.04%,4327,195,4198,202,4165,192,196,5.73%
30100,4493,218464,4490,190759,4478,197844,202355,4493,47880,4490,48341,4478,49056,48425,1002,401,1002,377,1503,381,386,73.94%,3014,527,2937,521,3196,636,561,32.04%,4327,194,4198,194,4165,247,211,5.73%
30200,4493,219680,4490,195365,4478,200912,205319,4493,49793,4490,48199,4478,50645,49545,1002,383,1002,383,1503,395,387,73.94%,3014,518,2937,596,3196,527,547,32.04%,4327,186,4198,194,4165,206,195,5.73%
30300,4493,198837,4490,196896,4478,200201,198644,4493,48256,4490,48619,4478,49391,48755,1002,392,1002,496,1503,405,431,73.94%,3014,526,2937,544,3196,533,534,32.04%,4327,191,4198,195,4165,192,192,5.73%
30400,4493,196536,4490,195956,4478,204143,198878,4493,48995,4490,49497,4478,51513,50001,1002,406,1002,381,1503,401,396,73.94%,3014,524,2937,564,3196,576,554,32.04%,4327,192,4198,199,4165,207,199,5.73%
30500,4493,200294,4490,194629,4478,201447,198790,4493,49165,4490,50249,4478,49657,49690,1002,393,1002,373,1503,388,384,73.94%,3014,549,2937,564,3196,542,551,32.04%,4327,195,4198,200,4165,196,197,5.73%
30600,4493,203405,4490,197085,4478,205526,202005,4493,50228,4490,49192,4478,50165,49861,1002,383,1002,533,1503,389,435,73.94%,3014,521,2937,524,3196,560,535,32.04%,4327,202,4198,194,4165,194,196,5.73%
30700,4493,201260,4490,197363,4478,202447,200356,4493,49302,4490,51755,4478,50534,50530,1002,374,1002,374,1503,449,399,73.94%,3014,533,2937,549,3196,566,549,32.04%,4327,196,4198,208,4165,221,208,5.73%
30800,4493,199715,4490,199181,4478,202901,200599,4493,56185,4490,51963,4478,49127,52425,1002,379,1002,395,1503,429,401,73.94%,3014,537,2937,534,3196,536,535,32.04%,4327,194,4198,197,4165,200,197,5.73%
30900,4493,203244,4490,198613,4478,202375,201410,4493,49849,4490,50887,4478,50236,50324,1002,396,1002,374,1503,396,388,73.94%,3014,538,2937,530,3196,553,540,32.04%,4327,198,4198,193,4165,201,197,5.73%
31000,4498,211457,4490,200146,4478,206700,206101,4498,50540,4490,51991,4478,54174,52235,1002,397,1002,398,1503,378,391,73.95%,3014,554,2937,1055,3196,770,793,32.07%,4327,196,4198,205,4165,206,202,5.76%
31100,4498,204484,4490,205149,4478,202098,203910,4498,53428,4490,58768,4478,53217,55137,1002,367,1002,395,1503,370,377,73.95%,3014,538,2937,560,3196,528,542,32.07%,4327,193,4198,201,4165,198,197,5.76%
31200,4498,204647,4490,199939,4478,203874,202820,4498,52408,4490,50255,4478,51161,51274,1002,380,1002,375,1503,387,380,73.95%,3014,539,2937,577,3196,552,556,32.07%,4327,201,4198,196,4165,201,199,5.76%
31300,4498,204120,4490,204315,4478,206702,205045,4498,49977,4490,50255,4478,53442,51224,1002,380,1002,368,1503,440,396,73.95%,3014,569,2937,527,3196,573,556,32.07%,4327,198,4198,210,4165,202,203,5.76%
31400,4498,207297,4490,201348,4478,211461,206702,4498,54577,4490,52225,4478,51850,52884,1002,379,1002,387,1503,393,386,73.95%,3014,543,2937,539,3196,538,540,32.07%,4327,216,4198,202,4165,206,208,5.76%
31500,4498,211495,4490,208501,4478,206645,208880,4498,50427,4490,53038,4478,52114,51859,1002,385,1002,410,1503,385,393,73.95%,3014,575,2937,542,3196,625,580,32.07%,4327,200,4198,202,4165,201,201,5.76%
31600,4498,208573,4490,204358,4478,207673,206868,4498,52459,4490,51491,4478,53053,52334,1002,400,1002,404,1503,392,398,73.95%,3014,537,2937,543,3196,556,545,32.07%,4327,201,4198,200,4165,207,202,5.76%
31700,4498,206223,4490,203935,4478,208652,206270,4498,53245,4490,53648,4478,52232,53041,1002,402,1002,389,1503,403,398,73.95%,3014,563,2937,545,3196,539,549,32.07%,4327,202,4198,200,4165,201,201,5.76%
31800,4498,217409,4490,207579,4478,210409,211799,4498,51163,4490,52734,4478,54803,52900,1002,384,1002,397,1503,392,391,73.95%,3014,551,2937,567,3196,559,559,32.07%,4327,203,4198,208,4165,202,204,5.76%
31900,4498,216205,4490,204144,4478,209794,210047,4498,52705,4490,53161,4478,54163,53343,1002,381,1002,400,1503,393,391,73.95%,3014,553,2937,551,3196,557,553,32.07%,4327,204,4198,202,4165,209,205,5.76%
32000,4498,211060,4490,207896,4478,211848,210268,4498,53739,4490,52821,4478,60974,55844,1002,402,1002,394,1503,444,413,73.95%,3014,624,2937,562,3196,547,577,32.07%,4327,227,4198,211,4165,206,214,5.76%
32100,4498,240133,4490,235151,4478,217137,230807,4498,81333,4490,54710,4478,55888,63977,1002,412,1002,418,1503,413,414,73.95%,3014,545,2937,556,3196,579,560,32.07%,4327,202,4198,357,4165,208,255,5.76%
32200,4498,212940,4490,210858,4478,213174,212324,4498,54538,4490,54008,4478,54963,54503,1002,397,1002,394,1503,415,402,73.95%,3014,617,2937,575,3196,560,584,32.07%,4327,219,4198,206,4165,204,209,5.76%
32300,4498,211417,4490,208378,4478,215468,211754,4498,56084,4490,51627,4478,53767,53826,1002,391,1002,392,1503,425,402,73.95%,3014,565,2937,588,3196,581,578,32.07%,4327,208,4198,210,4165,214,210,5.76%
32400,4498,244048,4490,208374,4478,212861,221761,4498,57146,4490,53520,4478,53101,54589,1002,471,1002,379,1503,416,422,73.95%,3014,543,2937,555,3196,560,552,32.07%,4327,201,4198,199,4165,209,203,5.76%
32500,4498,214415,4490,213626,4478,216167,214736,4498,51554,4490,52088,4478,56578,53406,1002,441,1002,424,1503,406,423,73.95%,3014,632,2937,577,3196,560,589,32.07%,4327,219,4198,209,4165,210,212,5.76%
32600,4498,220508,4490,211329,4478,219699,217178,4498,57398,4490,52997,4478,53520,54638,1002,481,1002,392,1503,421,431,73.95%,3014,584,2937,565,3196,653,600,32.07%,4327,224,4198,206,4165,259,229,5.76%
32700,4498,214461,4490,213906,4478,216709,215025,4498,52314,4490,52377,4478,53382,52691,1002,390,1002,431,1503,386,402,73.95%,3014,588,2937,556,3196,582,575,32.07%,4327,211,4198,208,4165,206,208,5.76%
32800,4498,213946,4490,213730,4478,214605,214093,4498,55163,4490,52188,4478,53734,53695,1002,412,1002,404,1503,409,408,73.95%,3014,565,2937,578,3196,593,578,32.07%,4327,207,4198,208,4165,227,214,5.76%
32900,4498,212665,4490,209959,4478,217204,213276,4498,53150,4490,54217,4478,54154,53840,1002,382,1002,432,1503,408,407,73.95%,3014,551,2937,580,3196,598,576,32.07%,4327,208,4198,216,4165,209,211,5.76%
33000,4498,216747,4490,222234,4478,215691,218224,4498,53984,4490,54769,4478,53758,54170,1002,413,1002,408,1503,406,409,73.95%,3014,576,2937,564,3196,568,569,32.07%,4327,209,4198,209,4165,208,208,5.76%
33100,4498,217719,4490,216448,4478,216989,217052,4498,54080,4490,52362,4478,55668,54036,1002,414,1002,399,1503,392,401,73.95%,3014,566,2937,563,3196,564,564,32.07%,4327,210,4198,208,4165,210,209,5.76%
33200,4498,218243,4490,215553,4478,216416,216737,4498,54512,4490,51992,4478,53539,53347,1002,412,1002,431,1503,422,421,73.95%,3014,561,2937,581,3196,571,571,32.07%,4327,205,4198,215,4165,237,219,5.76%
33300,4498,216682,4490,215667,4478,220426,217591,4498,52930,4490,52382,4478,54435,53249,1002,435,1002,425,1503,428,429,73.95%,3014,580,2937,594,3196,577,583,32.07%,4327,212,4198,219,4165,220,217,5.76%
33400,4498,219821,4490,213616,4478,218861,217432,4498,54552,4490,53818,4478,53106,53825,1002,415,1002,425,1503,389,409,73.95%,3014,569,2937,557,3196,588,571,32.07%,4327,217,4198,208,4165,210,211,5.76%
33500,4498,219778,4490,220053,4478,220033,219954,4498,51841,4490,53897,4478,55458,53732,1002,403,1002,395,1503,406,401,73.95%,3014,571,2937,684,3196,556,603,32.07%,4327,227,4198,246,4165,211,228,5.76%
33600,4498,224265,4490,214814,4478,222097,220392,4498,54014,4490,57577,4478,54495,55362,1002,395,1002,430,1503,484,436,73.95%,3014,571,2937,641,3196,568,593,32.07%,4327,216,4198,233,4165,211,220,5.76%
33700,4498,219281,4490,215839,4478,221405,218841,4498,53533,4490,54969,4478,55922,54808,1002,575,1002,403,1503,424,467,73.95%,3014,711,2937,575,3196,586,624,32.07%,4327,216,4198,216,4165,220,217,5.76%
33800,4498,223893,4490,219112,4478,219629,220878,4498,54962,4490,54401,4478,56298,55220,1002,432,1002,400,1503,431,421,73.95%,3014,649,2937,642,3196,583,624,32.07%,4327,216,4198,245,4165,236,232,5.76%
33900,4498,220813,4490,216424,4478,220264,219167,4498,54356,4490,53802,4478,55563,54573,1002,418,1002,451,1503,411,426,73.95%,3014,569,2937,676,3196,576,607,32.07%,4327,276,4198,220,4165,228,241,5.76%
34000,4498,221789,4490,220865,4478,223809,222154,4498,55129,4490,55161,4478,53921,54737,1002,562,1002,489,1503,414,488,73.95%,3014,602,2937,594,3196,587,594,32.07%,4327,214,4198,234,4165,229,225,5.76%
34100,4498,222948,4490,226609,4478,228122,225893,4498,56176,4490,80282,4478,55714,64057,1002,417,1002,440,1503,395,417,73.95%,3014,598,2937,593,3196,593,594,32.07%,4327,220,4198,225,4165,231,225,5.76%
34200,4498,234086,4490,255557,4478,225881,238508,4498,87065,4490,57354,4478,55035,66484,1002,468,1002,482,1503,447,465,73.95%,3014,589,2937,607,3196,609,601,32.07%,4327,225,4198,222,4165,221,222,5.76%
34300,4498,254102,4490,221758,4478,227937,234599,4498,54834,4490,55322,4478,58986,56380,1002,407,1002,416,1503,559,460,73.95%,3014,581,2937,581,3196,610,590,32.07%,4327,215,4198,219,4165,217,217,5.76%
34400,4498,228508,4490,219827,4478,223577,223970,4498,57547,4490,58889,4478,55735,57390,1002,408,1002,435,1503,449,430,73.95%,3014,598,2937,651,3196,601,616,32.07%,4327,218,4198,230,4165,227,225,5.76%
34500,4498,226101,4490,223567,4478,225949,225205,4498,55119,4490,58940,4478,56332,56797,1002,419,1002,411,1503,424,418,73.95%,3014,623,2937,583,3196,611,605,32.07%,4327,223,4198,217,4165,221,220,5.76%
34600,4498,226099,4490,221487,4478,227070,224885,4498,60871,4490,56068,4478,56276,57738,1002,444,1002,435,1503,441,440,73.95%,3014,590,2937,580,3196,581,583,32.07%,4327,221,4198,214,4165,218,217,5.76%
34700,4498,226896,4490,224241,4480,231135,227424,4498,57453,4490,55664,4480,56379,56498,1002,408,1002,424,1503,415,415,73.95%,3014,653,2937,598,3196,602,617,32.08%,4327,275,4198,222,4165,219,238,5.78%
34800,4498,228713,4490,236634,4480,230857,232068,4498,55244,4490,58291,4480,56355,56630,1002,411,1002,421,1503,432,421,73.95%,3014,597,2937,590,3196,588,591,32.08%,4327,216,4198,219,4165,225,220,5.78%
34900,4498,227401,4490,224108,4480,230041,227183,4498,55678,4490,55628,4480,56245,55850,1002,424,1002,415,1503,435,424,73.95%,3014,592,2937,595,3196,605,597,32.08%,4327,225,4198,227,4165,230,227,5.78%
35000,4498,230612,4490,228752,4480,228021,229128,4498,57422,4490,56887,4480,56454,56921,1002,414,1002,488,1503,555,485,73.95%,3014,590,2937,607,3196,610,602,32.08%,4327,224,4198,230,4165,226,226,5.78%
35100,4498,229978,4490,224094,4480,232245,228772,4498,58097,4490,59485,4480,56843,58141,1002,437,1002,434,1503,442,437,73.95%,3014,593,2937,758,3196,603,651,32.08%,4327,225,4198,222,4165,295,247,5.78%
35200,4498,231256,4490,226890,4480,229424,229190,4498,57952,4490,59194,4480,57322,58156,1002,420,1002,429,1503,426,425,73.95%,3014,588,2937,622,3196,637,615,32.08%,4327,222,4198,235,4165,218,225,5.78%
35300,4498,229708,4490,225791,4480,235274,230257,4498,55612,4490,58733,4480,57156,57167,1002,419,1002,405,1503,426,416,73.95%,3014,603,2937,571,3196,736,636,32.08%,4327,400,4198,222,4165,256,292,5.78%
35400,4498,233244,4494,232394,4480,232765,232801,4498,67265,4494,55652,4480,58006,60307,1002,472,1002,418,1503,445,445,73.96%,3014,671,2937,593,3196,597,620,32.10%,4327,243,4198,244,4165,227,238,5.81%
35500,4498,233703,4494,228439,4480,237161,233101,4498,55835,4494,58658,4480,56428,56973,1002,432,1002,418,1503,439,429,73.96%,3014,616,2937,586,3196,651,617,32.10%,4327,237,4198,227,4165,282,248,5.81%
35600,4498,231047,4494,226416,4480,237524,231662,4498,56766,4494,57553,4480,56639,56986,1002,425,1002,431,1503,448,434,73.96%,3014,600,2937,604,3196,612,605,32.10%,4327,229,4198,229,4165,234,230,5.81%
35700,4498,233536,4494,229095,4480,234329,232320,4498,56009,4494,57671,4480,57824,57168,1002,484,1002,466,1503,426,458,73.96%,3014,687,2937,610,3196,607,634,32.10%,4327,236,4198,257,4165,227,240,5.81%
35800,4498,236700,4494,230131,4480,233484,233438,4498,56859,4494,59019,4480,59050,58309,1002,433,1002,588,1503,445,488,73.96%,3014,597,2937,662,3196,610,623,32.10%,4327,226,4198,225,4165,236,229,5.81%
35900,4498,235201,4494,233120,4480,236734,235018,4498,56218,4494,61795,4480,58377,58796,1002,441,1002,477,1503,416,444,73.96%,3014,593,2937,605,3196,610,602,32.10%,4327,229,4198,231,4165,230,230,5.81%
36000,4498,240917,4494,231582,4482,245607,239368,4498,56677,4494,57716,4482,92435,68942,1002,576,1002,449,1503,477,500,73.96%,3014,880,2937,611,3196,606,699,32.11%,4327,232,4198,232,4165,227,230,5.82%
36100,4498,262031,4494,240507,4482,237377,246638,4498,58597,4494,60124,4482,57909,58876,1002,434,1002,438,1503,457,443,73.96%,3014,622,2937,621,3196,616,619,32.11%,4327,228,4198,232,4165,237,232,5.82%
36200,4498,235063,4494,234205,4482,242360,237209,4498,58300,4494,57918,4482,61968,59395,1002,571,1002,434,1503,434,479,73.96%,3014,609,2937,671,3196,599,626,32.11%,4327,234,4198,253,4165,309,265,5.82%
36300,4498,238064,4494,232720,4482,241865,237549,4498,57971,4494,57969,4482,61608,59182,1002,415,1002,454,1503,449,439,73.96%,3014,590,2937,1034,3196,617,747,32.11%,4327,236,4198,266,4165,237,246,5.82%
36400,4498,235380,4494,235819,4482,239126,236775,4498,59384,4494,60182,4482,59584,59716,1002,526,1002,454,1503,412,464,73.96%,3014,687,2937,622,3196,602,637,32.11%,4327,231,4198,239,4165,236,235,5.82%
36500,4498,244610,4494,230771,4482,242172,239184,4498,59177,4494,60353,4482,61335,60288,1002,476,1002,488,1503,456,473,73.96%,3014,628,2937,648,3196,620,632,32.11%,4327,239,4198,251,4165,241,243,5.82%
36600,4498,240222,4494,236538,4482,240858,239206,4498,59551,4494,60775,4482,59963,60096,1002,474,1002,479,1503,473,475,73.96%,3014,705,2937,695,3196,630,676,32.11%,4327,233,4198,236,4165,261,243,5.82%
36700,4498,245394,4494,235238,4482,238175,239602,4498,59514,4494,59604,4482,59760,59626,1002,446,1002,436,1503,449,443,73.96%,3014,627,2937,611,3196,656,631,32.11%,4327,238,4198,232,4165,242,237,5.82%
36800,4498,242720,4494,240092,4482,242561,241791,4498,59639,4494,60114,4482,60889,60214,1002,434,1002,434,1503,476,448,73.96%,3014,606,2937,607,3196,635,616,32.11%,4327,238,4198,234,4165,237,236,5.82%
36900,4498,242168,4494,238474,4482,246449,242363,4498,59612,4494,60082,4482,59481,59725,1002,507,1002,476,1503,457,480,73.96%,3014,608,2937,632,3196,630,623,32.11%,4327,256,4198,260,4165,241,252,5.82%
37000,4498,244756,4494,243698,4482,243630,244028,4498,58010,4494,62453,4482,59341,59934,1002,670,1002,459,1503,454,527,73.96%,3014,617,2937,617,3196,659,631,32.11%,4327,237,4198,297,4165,252,262,5.82%
37100,4498,253535,4494,241018,4482,247963,247505,4498,62861,4494,60675,4482,58654,60730,1002,436,1002,459,1503,425,440,73.96%,3014,651,2937,617,3196,627,631,32.11%,4327,234,4198,234,4165,234,234,5.82%
37200,4498,244116,4494,240262,4482,247846,244074,4498,60292,4494,61222,4482,61503,61005,1002,444,1002,442,1503,433,439,73.96%,3014,637,2937,628,3196,639,634,32.11%,4327,240,4198,240,4165,234,238,5.82%
37300,4498,247196,4494,242377,4482,253497,247690,4498,59500,4494,59364,4482,63277,60713,1002,450,1002,439,1503,463,450,73.96%,3014,622,2937,610,3196,616,616,32.11%,4327,230,4198,234,4165,231,231,5.82%
